n,m,phi_n,e_m,ratio,deviation,deviation_pct
71,34.16603957923185,688846502588402.4,688846502588402.4,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
74,35.60967505441066,2918000611027452.5,2918000611027452.5,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
154,74.10662105917893,1.527905866830898e+32,1.527905866830898e+32,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
151,72.66298558400013,3.6068964779283366e+31,3.6068964779283366e+31,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
152,73.14419740905973,5.836081095190331e+31,5.836081095190331e+31,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
193,92.87388223650348,2.1607999854046178e+40,2.1607999854046178e+40,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
190,91.43024676132465,5.1009568233603675e+39,5.1009568233603675e+39,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
185,89.02418763602664,4.599529898309024e+38,4.599529898309024e+38,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
167,80.36237478495379,7.96041889248919e+34,7.96041889248919e+34,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
155,74.58783288423854,2.4722036241427623e+32,2.4722036241427623e+32,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
161,77.47510383459615,4.4361894048502945e+33,4.4361894048502945e+33,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
163,78.43752748471536,1.1614094642430227e+34,1.1614094642430227e+34,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
165,79.39995113483457,3.0406094522440356e+34,3.0406094522440356e+34,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
203,97.6860004870995,2.6576082956387774e+42,2.6576082956387774e+42,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
